flyFrom,flyTo,price,cityFrom,cityTo,countryFrom,countryTo,distance,duration,conversion,fare,bags_price,luggage_weight,availability,local_arrival,local_departure,airlines
TIA,AGP,212,Tirana,Málaga,Albania,Spain,2151.6,142500,{'EUR': 212},212,{'1': 238},23,2.0,2023-03-02 08:50:00,2023-02-28 17:15:00,"JU, UX"
TIA,AGP,253,Tirana,Málaga,Albania,Spain,2151.6,118800,{'EUR': 253},253,{'1': 209.967},23,2.0,2023-03-01 21:20:00,2023-02-28 12:20:00,"UX, VY, W6"
TIA,AGP,265,Tirana,Málaga,Albania,Spain,2151.6,155100,{'EUR': 265},265,"{'1': 219.419, '2': 440.538}",23,1.0,2023-03-02 16:00:00,2023-02-28 20:55:00,"FR, W6"
TIA,AGP,266,Tirana,Málaga,Albania,Spain,2151.6,215700,{'EUR': 266},266,{'1': 194.99},23,4.0,2023-03-03 08:50:00,2023-02-28 20:55:00,"UX, VY, W6"
TIA,AGP,280,Tirana,Málaga,Albania,Spain,2151.6,136200,{'EUR': 280},280,{'1': 144.5},23,2.0,2023-03-02 08:50:00,2023-02-28 19:00:00,"UX, A3"
TIA,AGP,292,Tirana,Málaga,Albania,Spain,2151.6,129300,{'EUR': 292},292,{'1': 239.156},23,2.0,2023-03-02 08:50:00,2023-02-28 20:55:00,"UX, FR, U2, W6"
TIA,AGP,309,Tirana,Málaga,Albania,Spain,2151.6,141600,{'EUR': 309},309,{'1': 140.556},23,3.0,2023-03-02 12:15:00,2023-02-28 20:55:00,"FR, VY, W6"
TIA,AGP,309,Tirana,Málaga,Albania,Spain,2151.6,162900,{'EUR': 309},309,{'1': 206.567},23,2.0,2023-03-02 09:35:00,2023-02-28 12:20:00,"IB, VY, W6"
TIA,AGP,314,Tirana,Málaga,Albania,Spain,2151.6,101100,{'EUR': 314},314,{'1': 238},23,3.0,2023-03-01 21:20:00,2023-02-28 17:15:00,"JU, UX"
TIA,AGP,317,Tirana,Málaga,Albania,Spain,2151.6,132300,{'EUR': 317},317,{'1': 162.69},23,2.0,2023-03-02 09:40:00,2023-02-28 20:55:00,"VY, W6"
TIA,AGP,329,Tirana,Málaga,Albania,Spain,2151.6,70800,{'EUR': 329},329,"{'1': 172.89, '2': 379.78}",23,5.0,2023-03-01 16:35:00,2023-02-28 20:55:00,"KL, W6"
TIA,AGP,332,Tirana,Málaga,Albania,Spain,2151.6,160500,{'EUR': 332},332,{'1': 187},23,2.0,2023-03-02 15:35:00,2023-02-28 19:00:00,"BA, A3"
TIA,AGP,356,Tirana,Málaga,Albania,Spain,2151.6,149700,{'EUR': 356},356,{'1': 183.6},23,9.0,2023-03-02 09:35:00,2023-02-28 16:00:00,"IB, OS"
