id,flyFrom,flyTo,cityFrom,cityTo,price,airlines
0f64125b4bd84beda8fedd1d_0|125b00424bd90000c5585ec2_0|004220a14bda0000674a5699_0|0f64125b4bd84beda8fedd1d_1,LHR,JFK,London,New York,481,"BA, N0, FR"
0f6400424bd800002c6bd556_0|0f6400424bd800002c6bd556_1|004220a14bd80000403dffc8_0,LHR,JFK,London,New York,491,"SK, N0"
0f640b774bd80000ccb8685a_0|0f640b774bd80000ccb8685a_1|0b7700424bd900005a4ddc99_0|004220a14bda0000674a5699_0,LHR,JFK,London,New York,495,"A3, N0, FR"
0f64125b4bd84be646a0e1fc_0|125b07f04bd90000a9ca4ad8_0|07f020a14bda000086e895cf_0|0f64125b4bd84be646a0e1fc_1,LHR,JFK,London,New York,512,"BA, NO, FR"
0f64125b4bd800000fe69dc6_0|125b00424bd90000c5585ec2_0|004220a14bda0000674a5699_0,LHR,JFK,London,New York,512,"N0, EI, FR"
0f64125b4bd84beda8fedd1d_0|125b07f04bd90000a9ca4ad8_0|07f020a14bda000086e895cf_0|0f64125b4bd84beda8fedd1d_1,LHR,JFK,London,New York,517,"BA, NO, FR"
0f6422ad4bd80000df82c160_0|22ad093e4bd90000bf01433e_0|093e20a14bd90000769b07fa_0|093e20a14bd90000769b07fa_1,LHR,JFK,London,New York,519,"U2, S4, BA"
0f640a2b4bd800000afe1554_0|0a2b07f04bd90000d97da520_0|07f020a14bda000086e895cf_0,LHR,JFK,London,New York,525,"BA, NO, FR"
0f641cce4bd800006a6d37fd_0|1cce20a14bd80000f75db5e7_0,LHR,JFK,London,New York,529,"SK, N0"
0f64125b4bd80000e85eb0c1_0|125b00424bd90000c5585ec2_0|004220a14bda0000674a5699_0,LHR,JFK,London,New York,529,"N0, EI, FR"
0f64125b4bd80000afc00326_0|125b00424bd90000c5585ec2_0|004220a14bda0000674a5699_0,LHR,JFK,London,New York,540,"BA, N0, FR"
0f6422ad4bd80000df82c160_0|22ad03584bd900006666394d_0|035820a14bd90000b85d6277_0|035820a14bd90000b85d6277_1,LHR,JFK,London,New York,542,"U2, S4, BA"
0f6403584bd80000b4439bde_0|0f6403584bd80000b4439bde_1|035820a14bd9000047ba38ea_0|035820a14bd9000047ba38ea_1,LHR,JFK,London,New York,548,"A3, S4"
0f641cce4bd80000cf468d0d_0|0f641cce4bd80000cf468d0d_1|1cce20a14bda000075055825_0,LHR,JFK,London,New York,554,"SK, N0"
0f6403584bd800002dbd13c0_0|035820a14bd9000047ba38ea_0|035820a14bd9000047ba38ea_1,LHR,JFK,London,New York,555,"S4, BA"
0f6400424bd800001fa0c8ed_0|004220a14bd80000403dffc8_0,LHR,JFK,London,New York,560,"BA, N0"
0f6423aa4bd8000065f08c86_0|23aa125b4bd9000055e6657e_0|125b20a14bda00003116d701_0,LHR,JFK,London,New York,573,"BA, EI, FR"
0f6420a14bd800002373c5ba_0|0f6420a14bd800002373c5ba_1,LHR,JFK,London,New York,577,EI
0f6403584bd80000b4439bde_0|0f6403584bd80000b4439bde_1|035820a14bd90000b85d6277_0|035820a14bd90000b85d6277_1,LHR,JFK,London,New York,577,"A3, S4"
0f6420a14bd800009a13c647_0|0f6420a14bd800009a13c647_1,LHR,JFK,London,New York,583,EI
0f6420a14bd800003b23723d_0|0f6420a14bd800003b23723d_1,LHR,JFK,London,New York,583,EI
0f6403584bd800002dbd13c0_0|035820a14bd90000b85d6277_0|035820a14bd90000b85d6277_1,LHR,JFK,London,New York,584,"S4, BA"
0f641cce4bd80000608f2f9f_0|0f641cce4bd80000608f2f9f_1|1cce20a14bd80000f75db5e7_0,LHR,JFK,London,New York,585,"AY, N0"
0f640a844bd800004014b5b1_0|0a84008e4bd90000c419f9ce_0|008e125b4bda00005047c906_0|125b20a14bda0000df18b62d_0,LHR,JFK,London,New York,594,"EI, FR"
0f64125b4bd84beda8fedd1d_0|125b20a14bd90000d82cca65_0|0f64125b4bd84beda8fedd1d_1,LHR,JFK,London,New York,599,"BA, EI"
0f640a194bd8000007bba625_0|0a1920a14bd9000096d4bded_0,LHR,JFK,London,New York,602,EI
0f6417294bd80000a1c01d0a_0|0f6417294bd80000a1c01d0a_1|172920a14bda0000a65d0916_0,LHR,JFK,London,New York,606,"A3, DE"
0f640a844bd800004014b5b1_0|0a84008e4bd90000c419f9ce_0|008e125b4bda00005047c906_0|125b20a14bda00003116d701_0,LHR,JFK,London,New York,629,"EI, FR"
0f64125b4bd80000da68d243_0|125b20a14bd80000f86f1f7c_0,LHR,JFK,London,New York,647,EI
0f64125b4bd80000afc00326_0|125b20a14bd90000d82cca65_0,LHR,JFK,London,New York,658,"BA, EI"
