flyFrom,flyTo,price,cityFrom,cityTo,countryFrom,countryTo,distance,duration,local_departure,category
TIA,AGP,212,Tirana,Málaga,Albania,Spain,2151.6,142500,2023-02-28 17:15:00,Beach
TIA,AGP,253,Tirana,Málaga,Albania,Spain,2151.6,118800,2023-02-28 12:20:00,Beach
TIA,AGP,265,Tirana,Málaga,Albania,Spain,2151.6,155100,2023-02-28 20:55:00,Beach
TIA,AGP,266,Tirana,Málaga,Albania,Spain,2151.6,215700,2023-02-28 20:55:00,Beach
TIA,AGP,280,Tirana,Málaga,Albania,Spain,2151.6,136200,2023-02-28 19:00:00,Beach
TIA,AGP,292,Tirana,Málaga,Albania,Spain,2151.6,129300,2023-02-28 20:55:00,Beach
TIA,AGP,309,Tirana,Málaga,Albania,Spain,2151.6,141600,2023-02-28 20:55:00,Beach
TIA,AGP,309,Tirana,Málaga,Albania,Spain,2151.6,162900,2023-02-28 12:20:00,Beach
TIA,AGP,314,Tirana,Málaga,Albania,Spain,2151.6,101100,2023-02-28 17:15:00,Beach
TIA,AGP,317,Tirana,Málaga,Albania,Spain,2151.6,132300,2023-02-28 20:55:00,Beach
TIA,AGP,329,Tirana,Málaga,Albania,Spain,2151.6,70800,2023-02-28 20:55:00,Beach
TIA,AGP,332,Tirana,Málaga,Albania,Spain,2151.6,160500,2023-02-28 19:00:00,Beach
TIA,AGP,356,Tirana,Málaga,Albania,Spain,2151.6,149700,2023-02-28 16:00:00,Beach
TIA,AGP,364,Tirana,Málaga,Albania,Spain,2151.6,138900,2023-02-28 19:00:00,Beach
TIA,AGP,365,Tirana,Málaga,Albania,Spain,2151.6,81300,2023-02-28 11:30:00,Beach
TIA,AGP,393,Tirana,Málaga,Albania,Spain,2151.6,96300,2023-02-28 19:00:00,Beach
TIA,AGP,404,Tirana,Málaga,Albania,Spain,2151.6,80400,2023-02-28 16:00:00,Beach
TIA,AGP,417,Tirana,Málaga,Albania,Spain,2151.6,76800,2023-02-28 12:20:00,Beach
TIA,AGP,420,Tirana,Málaga,Albania,Spain,2151.6,66300,2023-02-28 16:00:00,Beach
TIA,AGP,421,Tirana,Málaga,Albania,Spain,2151.6,80400,2023-02-28 16:00:00,Beach
TIA,AGP,448,Tirana,Málaga,Albania,Spain,2151.6,70800,2023-02-28 16:00:00,Beach
TIA,AGP,453,Tirana,Málaga,Albania,Spain,2151.6,70500,2023-02-28 14:50:00,Beach
TIA,AGP,464,Tirana,Málaga,Albania,Spain,2151.6,99600,2023-02-28 14:10:00,Beach
TIA,AGP,489,Tirana,Málaga,Albania,Spain,2151.6,66300,2023-02-28 16:00:00,Beach
TIA,AGP,498,Tirana,Málaga,Albania,Spain,2151.6,60600,2023-02-28 16:00:00,Beach
TIA,AGP,516,Tirana,Málaga,Albania,Spain,2151.6,60600,2023-02-28 16:00:00,Beach
TIA,AGP,521,Tirana,Málaga,Albania,Spain,2151.6,69600,2023-02-28 14:50:00,Beach
TIA,AGP,546,Tirana,Málaga,Albania,Spain,2151.6,88500,2023-02-28 16:00:00,Beach
TIA,AGP,555,Tirana,Málaga,Albania,Spain,2151.6,92700,2023-02-28 14:50:00,Beach
TIA,AGP,576,Tirana,Málaga,Albania,Spain,2151.6,89400,2023-02-28 15:45:00,Beach
TIA,AGP,577,Tirana,Málaga,Albania,Spain,2151.6,78600,2023-02-28 16:00:00,Beach
TIA,AGP,584,Tirana,Málaga,Albania,Spain,2151.6,88500,2023-02-28 16:00:00,Beach
TIA,AGP,601,Tirana,Málaga,Albania,Spain,2151.6,65100,2023-02-28 16:00:00,Beach
TIA,AGP,601,Tirana,Málaga,Albania,Spain,2151.6,66000,2023-02-28 15:45:00,Beach
TIA,AGP,602,Tirana,Málaga,Albania,Spain,2151.6,64500,2023-02-28 15:45:00,Beach
TIA,AGP,620,Tirana,Málaga,Albania,Spain,2151.6,78900,2023-02-28 16:00:00,Beach
TIA,AGP,625,Tirana,Málaga,Albania,Spain,2151.6,63600,2023-02-28 16:00:00,Beach
TIA,AGP,633,Tirana,Málaga,Albania,Spain,2151.6,71700,2023-02-28 14:40:00,Beach
TIA,AGP,636,Tirana,Málaga,Albania,Spain,2151.6,30300,2023-02-28 16:00:00,Beach
TIA,AGP,636,Tirana,Málaga,Albania,Spain,2151.6,78900,2023-02-28 16:00:00,Beach
TIA,AGP,643,Tirana,Málaga,Albania,Spain,2151.6,61200,2023-02-28 20:55:00,Beach
TIA,AGP,660,Tirana,Málaga,Albania,Spain,2151.6,79500,2023-02-28 15:45:00,Beach
TIA,AGP,681,Tirana,Málaga,Albania,Spain,2151.6,78600,2023-02-28 16:00:00,Beach
